epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
52,12339.7,1.06586,0.495,0.86978,0.89246,0.81404,0.83762,0.51383,1.36256,0.63307,0.99981,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
53,12575.1,1.04658,0.48928,0.86567,0.89166,0.80946,0.83138,0.50825,1.37338,0.63715,1.00564,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
54,12810.4,1.05965,0.49364,0.86799,0.88798,0.81366,0.83415,0.51048,1.36627,0.62403,1.00098,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
55,13045.9,1.04644,0.48701,0.86581,0.8744,0.82713,0.83741,0.51336,1.37622,0.62689,1.00534,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
56,13281.2,1.04692,0.48372,0.86323,0.88958,0.81453,0.83615,0.514,1.37194,0.6176,1.005,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
57,13516.6,1.0392,0.48392,0.86271,0.88287,0.82261,0.83726,0.51038,1.37135,0.62196,1.00318,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
58,13751.9,1.03696,0.48096,0.86364,0.89052,0.82173,0.83561,0.51302,1.37374,0.62157,1.00732,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
59,13987.7,1.02499,0.47602,0.85934,0.90338,0.80276,0.82692,0.50801,1.36657,0.63036,1.00334,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
60,14224.6,1.02542,0.47302,0.8595,0.91608,0.80636,0.83081,0.50922,1.37155,0.63276,1.00476,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159
61,14459.7,1.01854,0.47251,0.85942,0.92008,0.81305,0.83434,0.51195,1.37816,0.62825,1.00911,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
62,14695.1,1.00918,0.46986,0.85702,0.90362,0.81531,0.83729,0.51217,1.37869,0.62642,1.00939,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961
63,14930.4,1.00791,0.46747,0.85767,0.89336,0.81128,0.83387,0.50741,1.38287,0.62304,1.01065,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
64,15165.7,0.99958,0.46212,0.85412,0.89721,0.81501,0.83695,0.51044,1.38345,0.62682,1.01073,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763
65,15400.6,0.99043,0.45807,0.85396,0.90161,0.80564,0.83152,0.50975,1.38621,0.62864,1.01315,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
66,15635.5,0.99626,0.45997,0.85565,0.89613,0.80761,0.82966,0.5096,1.38624,0.63307,1.00995,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
67,15870.8,0.98026,0.45416,0.85081,0.90787,0.80189,0.82915,0.50705,1.37817,0.62272,1.0127,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
68,16106.2,0.97801,0.45138,0.8496,0.90571,0.80247,0.82798,0.50399,1.38182,0.63689,1.01417,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367
69,16341.2,0.97616,0.44848,0.85044,0.87474,0.81475,0.82433,0.50416,1.3812,0.63583,1.01909,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
70,16576.5,0.96437,0.44481,0.84911,0.89961,0.80113,0.82354,0.50417,1.38583,0.64057,1.01949,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169
71,16811.2,0.96202,0.44384,0.8475,0.88062,0.81972,0.82635,0.50545,1.38368,0.63845,1.01706,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
72,17046.7,0.95711,0.44177,0.8452,0.88862,0.80851,0.82695,0.50558,1.38101,0.64033,1.01336,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971
73,17281.6,0.95593,0.43966,0.84492,0.90781,0.79953,0.82968,0.50687,1.3768,0.63848,1.01149,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
74,17516.8,0.95657,0.44123,0.84582,0.90829,0.79708,0.82458,0.50408,1.37972,0.64096,1.01579,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773
75,17751.2,0.94649,0.43571,0.84551,0.90396,0.80172,0.82897,0.50558,1.37971,0.63869,1.0176,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
76,17986.2,0.94708,0.43588,0.84432,0.89471,0.80139,0.82937,0.50424,1.38463,0.64511,1.01831,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
77,18221.5,0.94248,0.43576,0.84424,0.88379,0.80739,0.82716,0.50622,1.38542,0.64439,1.01944,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
78,18456.3,0.93036,0.42911,0.84075,0.89315,0.80628,0.82685,0.50574,1.38669,0.64631,1.02136,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377
79,18692.1,0.92901,0.42879,0.84017,0.89254,0.81006,0.82523,0.50646,1.38695,0.64442,1.02007,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
80,18927.4,0.91875,0.42023,0.83827,0.89978,0.80819,0.82572,0.50671,1.38842,0.64213,1.02201,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179
81,19163,0.90897,0.41894,0.83736,0.907,0.81136,0.82754,0.50834,1.38829,0.63706,1.02145,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
82,19398.3,0.90593,0.41618,0.83506,0.90861,0.8079,0.82748,0.50836,1.38793,0.64009,1.02193,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981
83,19633.3,0.90952,0.4178,0.83551,0.90687,0.80757,0.82903,0.50752,1.38815,0.64258,1.02207,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
84,19869,0.89384,0.41153,0.83433,0.9116,0.80551,0.82872,0.5064,1.38955,0.64368,1.02251,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783
85,20104.8,0.89424,0.41108,0.83133,0.90374,0.80731,0.8275,0.5059,1.3911,0.64574,1.02327,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
86,20339.7,0.88886,0.40719,0.83236,0.90573,0.80448,0.82677,0.50671,1.39101,0.64565,1.0237,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585
